chunk_id,num_samples,mean_loss,mean_iou,min_iou,max_iou
chunk_0000,100,0.30251480700046884,0.850466655575513,0.7302380442619324,0.8899462200977184
chunk_0001,100,0.17891457318885415,0.8770820627451776,0.8302742815934695,0.9097926150197568
chunk_0002,100,0.2835665725388435,0.8557540145490355,0.7948091973861059,0.8966829515993595
chunk_0003,100,0.2799918914545756,0.8386810087711926,0.6369726412436542,0.9035640033808622
chunk_0004,100,0.11506485155182027,0.8961286083956667,0.7925531438418797,0.9318975607554117
chunk_0005,100,0.1760666958535385,0.8676553504417339,0.6560422778129578,0.9418150186538696
chunk_0006,100,0.3378566612859201,0.803578444992704,0.6139384686946869,0.8980289213359356
chunk_0007,100,0.24738524314990717,0.6740650313179359,0.4662148707053241,0.8861708223819733
chunk_0008,100,0.3671684969392974,0.6692450850626167,0.5550206303596497,0.8240004479885101
chunk_0009,100,0.45316584504692814,0.66619199562908,0.5670457847656742,0.818292150371953
chunk_0010,100,0.40673353322299954,0.7440124746756218,0.6353397816419601,0.8271518170833587
chunk_0011,100,0.4728467466064288,0.7481519472360197,0.6240485620995363,0.8355385859807333
chunk_0012,100,0.28814201855428356,0.7972522257081062,0.6741501740340529,0.8597799476156843
chunk_0013,100,0.26760212033606334,0.8422068576042431,0.8072966971233779,0.8627386445901832
chunk_0014,100,0.20425770415607952,0.8486350994035208,0.8138611821027902,0.8730607470687555
chunk_0015,100,0.170582509445326,0.86421185321901,0.8123688268107038,0.888494648039341
chunk_0016,100,0.1513404266253767,0.8807031516820166,0.8172724655894346,0.9052599027752877
chunk_0017,100,0.1740531998511619,0.8805700437382655,0.8471612453460693,0.9044504364331564
chunk_0018,100,0.17665326651323215,0.8718493817283108,0.833374499267823,0.8939053501401629
chunk_0019,80,0.18114467624469865,0.8727887098337803,0.8317568898200989,0.9009596953789393
