chunk_id,num_samples,mean_loss,mean_iou,min_iou,max_iou
chunk_0000,100,0.4923987827938569,0.6954241993203673,0.5461427739688328,0.8247774270447817
chunk_0001,100,0.3756447660952628,0.6960857745628033,0.5780004447904127,0.778445057246996
chunk_0002,100,0.4103033634978876,0.7197913118582888,0.6029035105155065,0.8084333203732967
chunk_0003,100,0.3578117540641681,0.7706213929026308,0.6866632997989655,0.8041868301538321
chunk_0004,100,0.24761367474940296,0.7281756001944192,0.6113161444664001,0.7819158509373665
chunk_0005,100,0.25833179173820014,0.6257203784786046,0.4765526226588658,0.748006800810496
chunk_0006,100,0.46321103726925555,0.6455206981434926,0.428181990981102,0.8162757754325867
chunk_0007,100,0.3794225733906325,0.5160607458824097,0.32978599270184833,0.7450966993967693
chunk_0008,100,0.3850135185712722,0.49828890853460917,0.36123245109424545,0.6000705286860466
chunk_0009,100,0.4934988064153581,0.4656461364857546,0.35494353848954907,0.5557859304704165
chunk_0010,100,0.5106584737353593,0.4353582484507356,0.3575231419870926,0.5341134255840665
chunk_0011,100,0.6278514160312099,0.5045274900723445,0.4128259410658343,0.5736593944685799
chunk_0012,100,0.6875962141534829,0.6148865302687109,0.33451250914869635,0.7516473969849555
chunk_0013,100,0.5038791471433813,0.6961823259284229,0.642866895844539,0.7485038389762243
chunk_0014,100,0.5474807958584738,0.738862761685256,0.6896525206773177,0.7861697940116233
chunk_0015,100,0.5774426907814292,0.7371287630181061,0.6818813555515729,0.7957215085625648
chunk_0016,100,0.43737653226943407,0.7728177855434428,0.6834346167743206,0.8300323381143457
chunk_0017,100,0.5055090100745815,0.7676020274188465,0.7082035702628058,0.8102342305761395
chunk_0018,100,0.4917094778530425,0.7762514251094318,0.7193782498177729,0.8142014576329125
chunk_0019,80,0.5337853615311573,0.7822183521957735,0.7336571030318737,0.8300787989909832
